Code,产品名称
RGA.US,美国再保险集团
USFD.US,美国食品控股
NLY.US,安纳利资本管理
ROKU.US,Roku
UNM.US,尤纳姆
BJ.US,BJ批发俱乐部控股
EQH.US,Equitable控股
WPP.US,WPP
RRX.US,Regal Rexnord
AOS.US,A.O.史密斯
OTEX.US,Open Text
AFG.US,美国金融
WTRG.US,Essential
TFX.US,泰利福
BWA.US,博格华纳
SNX.US,新聚思
HSIC.US,亨利香恩服务
FND.US,地板装饰控股
PEN.US,Penumbra
BXP.US,波士顿地产
MTN.US,Vail Resorts
ARMK.US,Aramark
FFIV.US,F5
DKS.US,迪克体育用品
EDU.US,新东方
PFGC.US,性能食品集团
DBX.US,Dropbox
TPG.US,TPG
PATH.US,UiPath
QRVO.US,Qorvo
PCOR.US,Procore
BRKR.US,布鲁克
FTI.US,TechnipFMC
ALLE.US,Allegion Public
WMS.US,Advanced Drainage
CLH.US,清洁海港
HAS.US,孩之宝
WRK.US,WestRock
DVA.US,达维塔保健
QGEN.US,快而精医药
WSM.US,威廉索诺玛
EMN.US,伊士曼化工
JNPR.US,瞻博网络
RGEN.US,雷普里根
ONON.US,On Holding
ESLT.US,Elbit系统
SCI.US,国际服务
PAC.US,太平洋航空
CFLT.US,Confluent
NVT.US,nVent Electric
BURL.US,伯灵顿百货
NRG.US,NRG能源
HOOD.US,Robinhood Markets
PNW.US,西帕纳卡资本
UHS.US,Universal Health
CIG.C.US,Energy Co
UI.US,厄比奎蒂
CUBE.US,CubeSmart
AGCO.US,爱科集团
DAR.US,美国达尔令国际
CHDN.US,邱吉尔园
COLD.US,Americold Realty
BSAC.US,桑坦德银行（智利）
LAMR.US,拉马尔户外广告
WEX.US,WEX
FMC.US,FMC
SBS.US,SABESP
GLOB.US,Globant
DOCU.US,DocuSign
AAL.US,美国航空
KEP.US,韩国电力
KVYO.US,Klaviyo
NTNX.US,路坦力
SSL.US,南非萨索尔
TTC.US,托罗配件
JAZZ.US,爵士制药
SKM.US,韩国SK电信
CART.US,Maplebear
LBTYK.US,自由全球C类普通
FUTU.US,富途控股
FIVE.US,Five Below
WSC.US,WillScot Mobile
PARA.US,派拉蒙全球
JEF.US,杰富瑞金融
TTEK.US,德照科技
CTLT.US,Catalent
ALV.US,奥托立夫
OHI.US,Omega Healthcare
KNX.US,Knight-Swift
MNSO.US,名创优品
MKTX.US,MarketAxess Holdings
ALLY.US,Ally金融
LAD.US,利西亚车行
STVN.US,Stevanato Group
ATR.US,阿普达集团
NYCB.US,纽约社区银行
VIPS.US,唯品会
NOV.US,NOV
HII.US,亨廷顿英戈尔斯工业
KBR.US,KBR科技
SEIC.US,SEI投资
ROIV.US,Roivant Sciences
TOL.US,托尔兄弟
XPO.US,XPO
CVNA.US,Carvana
FBIN.US,Fortune Brands
UWMC.US,UWM Holdings
BLD.US,Topbuild
NATI.US,美国国家仪器
ETSY.US,Etsy
ITT.US,ITT
ESTC.US,Elastic
IEP.US,伊坎企业
RHI.US,Robert Half
CHWY.US,Chewy
ORI.US,欧德共和国际
LEA.US,李尔
DLB.US,杜比实验室
TX.US,特尔尼翁钢铁
AIZ.US,安信龙保险
CHE.US,Chemed
ASR.US,东南亚机场集团
EGP.US,EastGroup Properties
LBTYA.US,自由全球
AU.US,盎格鲁黄金
SEDG.US,Solaredge
MAT.US,美泰
MNDY.US,monday.com
CW.US,寇蒂斯莱特
FRT.US,FRT信托
WCC.US,西科国际
PSO.US,培生
EWBC.US,华美
CAE.US,CAE
BBWI.US,Bath & Body Works
OLED.US,通用显示器
WWD.US,伍德沃德
AGL.US,agilon health
PR.US,Permian Resources
TIMB.US,TIM
GNTX.US,真泰克
HLI.US,华利安
CCCS.US,CCC Intelligent
MEDP.US,Medpace控股
YMM.US,满帮
RGLD.US,皇家黄金
BEP.US,布鲁克菲尔德可再生
SKX.US,斯凯奇
CLF.US,克利夫兰克里夫
ICL.US,ICL Group
MUSA.US,墨菲美国
TPX.US,丹普西利国际
RL.US,拉夫劳伦
CGNX.US,康耐视科技
CIVI.US,Civitas Resources
STN.US,斯坦泰克
RRC.US,Range资源
DCI.US,唐纳森
BERY.US,Berry Global Group
VOYA.US,Voya Financial
WHR.US,惠而浦
XRAY.US,登士柏国际
SOFI.US,SoFi Technologies
AR.US,Antero资源
SWAV.US,ShockWave Medical
X.US,美国钢铁
GTLS.US,查特工业
GWRE.US,Guidewire软件
CHX.US,ChampionX
PRI.US,Primerica
ARW.US,艾睿电子
EHC.US,Encompass Health
CAR.US,安飞士
CACI.US,CACI国际
OGE.US,OGE能源
CYBR.US,CyberArk Software
SITE.US,Siteone Landscape
CIEN.US,Ciena科技
TKO.US,TKO Group Holdings
MIDD.US,米德尔机械
WBS.US,韦伯斯特金融
GTLB.US,GitLab
NE.US,Noble Corporation
TREX.US,Trex木业
GPK.US,图形包装
HESM.US,Hess Midstream
W.US,Wayfair
GXO.US,GXO Logistics
THC.US,泰尼特保健
RBC.US,RBC轴承
TNET.US,Trinet Group
EXEL.US,伊克力西斯
MUR.US,墨菲石油
JLL.US,仲量联行
MTDR.US,Matador能源
NYT.US,纽约时报
VFC.US,威富
CSAN.US,Cosan
WF.US,韩国友利金融
BWXT.US,BWX Technologies
SWN.US,西南能源
FSV.US,Firstservice
LNW.US,Light & Wonder
NCLH.US,挪威邮轮
GNRC.US,Generac控股
G.US,简伯特
AN.US,全美汽车租赁
INGR.US,宜瑞安
NNN.US,NNN REIT
PBF.US,PBF能源
SF.US,Stifel金融
BZ.US,BOSS直聘
RETA.US,Reata制药
TPR.US,Tapestry
WFRD.US,威德福国际
RCM.US,R1 RCM
LSTR.US,莱帝运输
IVZ.US,景顺
FR.US,第一工业地产
CHRD.US,Chord Energy
ACHC.US,阿卡迪亚医疗保健
GRFS.US,基立福
MSA.US,MSA Safety
BRX.US,Brixmor Property
CNM.US,Core & Main
RLI.US,RLI保险
TXRH.US,德州公路酒吧
APPF.US,Appfolio
ZI.US,ZoomInfo
SIGI.US,选择性保险
DUOL.US,多邻国
KT.US,韩国电信
RIG.US,越洋钻探
SSD.US,辛普森配件制造
UFPI.US,UFP Industries
KRTX.US,Karuna Therapeutics
STAG.US,Stag工业
OSK.US,Oshkosh
SPSC.US,SPS商贸
STWD.US,喜达屋不动产信托
HQY.US,Healthequity
FHN.US,第一地平线
NFE.US,New Fortress Energy
IGT.US,国际游戏科技
LFUS.US,美国力特保险丝
HRB.US,HR布洛克服务
COKE.US,可口可乐合并
ALGM.US,Allegro
IONS.US,伊奥尼斯制药
KGC.US,金罗斯黄金
DSGX.US,笛卡尔物流系统集团
CHH.US,精选国际酒店
GLBE.US,Global-E Online
FIX.US,Comfort Systems USA
SN.US,SharkNinja
CPRI.US,Capri Holdings
BYD.US,博伊德赌场
FCN.US,FTI咨询
ONTO.US,Onto Innovation
WH.US,温德姆酒店及度假村
IRDM.US,铱星通讯
MTZ.US,马斯科技大型工程
AFRM.US,Affirm Holdings
CACC.US,Credit Acceptance
APG.US,APi Group
FAF.US,第一美国
AIT.US,应用工业技术
NEWR.US,New Relic
OPCH.US,Option Care
BLCO.US,博士伦
AXTA.US,Axalta涂层系统
AGNC.US,美国资本代理
WFG.US,西弗雷泽木业
HR.US,医疗保健房地产信托
PII.US,北极星
INFA.US,Informatica
NXT.US,Nextracker
CBSH.US,科默斯银行
OLN.US,欧林
RMBS.US,蓝博士半导体
CMC.US,美国工商五金
CFR.US,库伦佛寺银行
EXP.US,老鹰材料
WTS.US,沃茨水工业
PSN.US,Parsons
ELF.US,e.l.f.美容
AMKR.US,艾马克技术
AM.US,Antero Midstream
DOOO.US,BRP
FRSH.US,Freshworks
ENLC.US,Enlink Midstream
MKSI.US,MKS仪器
FN.US,Fabrinet
QLYS.US,科力斯
ST.US,Sensata
BILI.US,哔哩哔哩
DLO.US,DLocal
SAIC.US,科学应用
FSK.US,FS KKR Capital
